<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;240918;100000;122.63;123.9;122.42;123.08;7221940
GAZP;60;240918;110000;123.08;123.19;121.9;122.27;5123120
GAZP;60;240918;120000;122.26;122.93;122.26;122.79;2867700
GAZP;60;240918;130000;122.8;123.18;122.3;122.68;3341060
GAZP;60;240918;140000;122.65;122.69;122.07;122.14;1986910
GAZP;60;240918;150000;122.11;122.6;122.02;122.18;1739190
GAZP;60;240918;160000;122.19;122.69;122;122.68;1895800
GAZP;60;240918;170000;122.68;123.11;122.35;122.57;2019920
GAZP;60;240918;180000;122.58;122.6;122.24;122.26;1288930
GAZP;60;240918;190000;122.25;122.4;122;122.2;1190830
GAZP;60;240918;200000;122.21;122.42;122.15;122.26;438020
GAZP;60;240918;210000;122.27;122.5;122.23;122.46;533170
GAZP;60;240918;220000;122.48;122.48;122.15;122.16;361930
GAZP;60;240918;230000;122.16;122.44;122;122.18;588440
GAZP;60;240919;100000;121.92;122.46;121.29;121.92;4151730
GAZP;60;240919;110000;121.93;122.23;121.72;122.12;2502860
GAZP;60;240919;120000;122.12;123.39;122.12;123.02;5223110
GAZP;60;240919;130000;123.03;123.06;122.14;122.14;3937650
GAZP;60;240919;140000;122.14;122.47;121.91;122.4;3827420
GAZP;60;240919;150000;122.39;122.41;121.21;122.04;13686730
GAZP;60;240919;160000;122.04;122.29;121.84;122.09;2105690
GAZP;60;240919;170000;122.05;123.21;121.98;122.52;4577750
GAZP;60;240919;180000;122.53;122.77;122.15;122.4;1523190
GAZP;60;240919;190000;122.41;122.74;122.2;122.3;655500
GAZP;60;240919;200000;122.3;122.6;122.29;122.49;313440
GAZP;60;240919;210000;122.49;122.5;122.35;122.45;134800
GAZP;60;240919;220000;122.46;122.47;122.2;122.25;339690
GAZP;60;240919;230000;122.25;122.38;122.15;122.24;296440
GAZP;60;240920;100000;122.26;122.97;122.25;122.82;3415850
GAZP;60;240920;110000;122.82;123.07;122.4;123.02;1837090
GAZP;60;240920;120000;123;123.18;122.58;122.78;3302170
GAZP;60;240920;130000;122.76;122.9;122.61;122.85;1357030
GAZP;60;240920;140000;122.84;123.1;122.35;122.54;2070720
GAZP;60;240920;150000;122.55;122.89;121.86;122.82;5618080
