<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;240918;000000;122.63;123.9;121.9;122.18;30596960
GAZP;D;240919;000000;121.92;123.39;121.21;122.24;43276000
GAZP;D;240920;000000;122.26;123.18;121.86;122.4;28494600
GAZP;D;240923;000000;122.68;130.8;122.62;130.35;138202790
GAZP;D;240924;000000;130.89;139.9;130.66;139.71;295791620
GAZP;D;240925;000000;140.5;140.99;134.29;135.44;149560020
GAZP;D;240926;000000;134.94;138.48;133.64;137.35;131130280
GAZP;D;240927;000000;137.58;141.77;136.4;140.5;86196110
GAZP;D;240930;000000;140.51;144.2;136.82;138.19;236906630
GAZP;D;241001;000000;137.9;139.2;134.44;136.21;98465200
GAZP;D;241002;000000;136.21;137.16;131.7;132.12;66760070
GAZP;D;241003;000000;131.59;134.16;130.32;133.87;57302470
GAZP;D;241004;000000;134.06;134.49;132.03;133.32;28779720
GAZP;D;241007;000000;133.32;133.66;131.6;133.5;25422430
GAZP;D;241008;000000;133.18;134.88;132.9;133.83;32037150
GAZP;D;241009;000000;133.75;133.92;131.5;132.51;19454930
GAZP;D;241010;000000;132.46;133.49;132.15;132.69;17529590
GAZP;D;241011;000000;132.79;132.91;131.52;131.82;21583200
GAZP;D;241014;000000;131.5;133.35;130.51;131.92;34719060
GAZP;D;241015;000000;131.85;134.4;131.43;133.97;28284570
GAZP;D;241016;000000;134.02;138.8;133.96;137.24;78137070
GAZP;D;241017;000000;137.46;138.29;134.8;136.05;49307200
GAZP;D;241018;000000;136.26;137.3;134.8;135.67;26443420
GAZP;D;241021;000000;135.69;136.6;135.11;135.97;19244090
GAZP;D;241022;000000;136.12;140.08;135.51;136.24;55308450
GAZP;D;241023;000000;136;137.5;134.13;134.76;35864930
GAZP;D;241024;000000;134.83;135.2;132.15;134.12;28806610
GAZP;D;241025;000000;134.16;136.5;132;133;55151100
GAZP;D;241028;000000;131.97;132.26;123.5;124.87;80382500
GAZP;D;241029;000000;125.12;126.96;121.85;125.97;67260130
GAZP;D;241030;000000;126.11;127.2;123.52;123.8;35233650
GAZP;D;241031;000000;123.4;124.94;122.25;123.44;34658890
GAZP;D;241101;000000;123.8;125.67;122.71;125.6;24628620
GAZP;D;241102;000000;125.73;129.3;125.01;128.7;32510070
GAZP;D;241105;000000;129;129.37;127.37;128.77;22989490
GAZP;D;241106;000000;133.12;136.59;130.4;131.92;108572240
GAZP;D;241107;000000;131.85;135.54;129.65;135.52;52608800
GAZP;D;241108;000000;135.81;137;133.64;135.9;64489980
GAZP;D;241111;000000;137.19;138.33;135.24;138.12;45550660
GAZP;D;241112;000000;137.82;137.82;134.64;135.16;33025870
GAZP;D;241113;000000;134.98;136.65;132.27;132.6;32544540
GAZP;D;241114;000000;132.19;133.34;130.67;131.61;40467310
GAZP;D;241115;000000;131.63;134;131.02;133.37;48108260
GAZP;D;241118;000000;129.6;130.73;128.75;129.12;59824020
GAZP;D;241119;000000;128.99;129.38;123.8;125.49;59011060
GAZP;D;241120;000000;126;126.78;120.36;121.89;61746510
GAZP;D;241121;000000;122.19;124.35;119.62;124.1;77445200
GAZP;D;241122;000000;124.25;124.32;118.4;119.47;72008950
GAZP;D;241125;000000;119.5;120.45;116.06;117.44;53734980
GAZP;D;241126;000000;117.29;119.43;114.01;114.5;58925170
GAZP;D;241127;000000;114.95;119.81;112.34;119.41;93117410
GAZP;D;241128;000000;119.98;121.5;118.25;120.29;54213000
GAZP;D;241129;000000;120.3;124.9;119.6;124.29;73143120
GAZP;D;241202;000000;124.95;125.45;123.51;123.9;42480390
GAZP;D;241203;000000;123.94;124;120.71;121.48;34805300
GAZP;D;241204;000000;121.49;123.46;114.13;115.3;87345360
GAZP;D;241205;000000;115.79;117.46;113;116.63;94782900
GAZP;D;241206;000000;117.02;117.32;113.9;114.99;48028560
GAZP;D;241209;000000;115.73;117.86;115;117.06;41812820
GAZP;D;241210;000000;117.39;117.47;114.5;114.7;38655660
GAZP;D;241211;000000;114.6;116;113.75;115.16;47528480
GAZP;D;241212;000000;115.16;115.4;113;113.1;40209450
GAZP;D;241213;000000;113.01;114.2;112.46;112.86;34268500
GAZP;D;241216;000000;112.68;112.8;108.11;108.71;78081350
GAZP;D;241217;000000;108.75;109.47;106.1;107.26;67614540
GAZP;D;241218;000000;107.45;107.89;105.22;106.66;58528080
