<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;60;240918;100000;106.74;107.7;106.1;107.38;1992920
GMKN;60;240918;110000;107.34;107.36;106.64;106.9;1394120
GMKN;60;240918;120000;106.88;107.02;106.4;106.96;684280
GMKN;60;240918;130000;106.96;107.2;106.42;107;807010
GMKN;60;240918;140000;107;107.58;106.88;107.36;1719710
GMKN;60;240918;150000;107.32;107.78;106.7;107.04;1723900
GMKN;60;240918;160000;107.04;107.96;106.86;107;1856340
GMKN;60;240918;170000;107.06;107.9;106.94;107.5;1565700
GMKN;60;240918;180000;107.58;107.62;106.58;106.68;713950
GMKN;60;240918;190000;106.68;106.68;106.24;106.6;337560
GMKN;60;240918;200000;106.58;106.72;106.46;106.64;92440
GMKN;60;240918;210000;106.64;107.12;106.52;106.64;387800
GMKN;60;240918;220000;106.58;106.7;106.34;106.62;214510
GMKN;60;240918;230000;106.62;106.68;106.22;106.22;144130
GMKN;60;240919;100000;106.34;106.8;105.72;106.04;1274330
GMKN;60;240919;110000;106.08;107.92;106.02;107.9;1906200
GMKN;60;240919;120000;107.9;109.48;107.7;109.46;2681100
GMKN;60;240919;130000;109.44;109.5;108.4;109.1;2686910
GMKN;60;240919;140000;109.06;109.9;108.68;109.86;2251830
GMKN;60;240919;150000;109.86;109.88;108.72;109.14;4936620
GMKN;60;240919;160000;109.12;110.36;109.02;109.6;3269890
GMKN;60;240919;170000;109.6;110.82;109.56;110.76;2793920
GMKN;60;240919;180000;110.78;111.1;110.64;110.98;1839850
GMKN;60;240919;190000;110.98;111.18;110.78;110.84;595230
GMKN;60;240919;200000;110.86;111.2;110.56;111.14;805550
GMKN;60;240919;210000;111.16;111.42;110.88;110.9;424670
GMKN;60;240919;220000;110.94;111.08;110.62;110.72;359360
GMKN;60;240919;230000;110.74;111.2;110.66;111.2;206890
GMKN;60;240920;100000;111.24;111.96;110.6;111.18;3638310
GMKN;60;240920;110000;111.18;111.42;110.62;111.32;1376500
GMKN;60;240920;120000;111.32;111.98;110.98;111.92;2097240
GMKN;60;240920;130000;111.92;112.52;111.72;112.14;1752040
GMKN;60;240920;140000;112.08;112.38;111.88;112.38;604840
GMKN;60;240920;150000;112.36;112.94;110.86;111.52;3367160
GMKN;60;240920;160000;111.56;111.66;111.1;111.14;737860
GMKN;60;240920;170000;111.14;111.48;110.8;111.1;1100900
GMKN;60;240920;180000;111.1;111.28;110.2;110.2;1843860
GMKN;60;240920;190000;110.48;110.6;109.78;110.02;1304300
GMKN;60;240920;200000;110.08;110.1;109.42;109.66;988190
GMKN;60;240920;210000;109.66;109.84;109.38;109.54;506710
GMKN;60;240920;220000;109.56;110.58;109.2;109.32;1717790
GMKN;60;240920;230000;109.34;109.54;109.06;109.42;717340
GMKN;60;240923;100000;110.08;110.76;109;109.4;3489930
GMKN;60;240923;110000;109.4;110.16;109.38;109.52;2464930
GMKN;60;240923;120000;109.58;109.7;109.04;109.14;1583730
GMKN;60;240923;130000;109.16;110.04;108.6;110.02;2317420
GMKN;60;240923;140000;110.02;110.26;109.56;110.26;760050
GMKN;60;240923;150000;110.24;110.44;109.7;109.88;730660
GMKN;60;240923;160000;109.92;110.1;109.64;110.08;520740
GMKN;60;240923;170000;110.08;110.7;110;110.66;877530
GMKN;60;240923;180000;110.7;110.72;109.94;109.94;551370
GMKN;60;240923;190000;109.98;110.52;109.82;110.5;641220
GMKN;60;240923;200000;110.5;110.52;110;110.06;513060
GMKN;60;240923;210000;110.04;110.46;109.74;110.14;441290
GMKN;60;240923;220000;110.12;110.46;109.98;110.36;281480
GMKN;60;240923;230000;110.34;110.44;110.22;110.34;145370
GMKN;60;240924;100000;111;112.28;110.06;111.32;4654650
GMKN;60;240924;110000;111.38;112.4;110.82;112.2;3909900
GMKN;60;240924;120000;112.26;112.76;111.76;112.2;1930080
GMKN;60;240924;130000;112.2;112.5;111.34;112.2;1809370
GMKN;60;240924;140000;112.2;112.24;111.66;112.02;1086880
GMKN;60;240924;150000;112.02;113.82;111.34;113.56;3519480
GMKN;60;240924;160000;113.42;114.22;113.2;114.02;2340590
GMKN;60;240924;170000;114.04;115;113.76;114.74;1974200
GMKN;60;240924;180000;114.76;114.92;113.5;113.94;1700680
GMKN;60;240924;190000;114.2;116;113.98;114.96;5156570
GMKN;60;240924;200000;114.96;115.5;114.9;115.28;1331010
GMKN;60;240924;210000;115.32;115.38;114.5;115.04;828740
GMKN;60;240924;220000;115.08;115.6;115.02;115.5;576510
GMKN;60;240924;230000;115.5;115.58;115.02;115.22;487530
