<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;200924;000000;111.24;112.94;109.06;109.42;21753040
GMKN;D;230924;000000;110.08;110.76;108.6;110.34;15318780
GMKN;D;240924;000000;111;116;110.06;115.22;31306190
GMKN;D;250924;000000;115.86;118.2;112.54;114.02;38495060
GMKN;D;260924;000000;113.96;116.82;113.34;115.48;24447140
GMKN;D;270924;000000;115.68;116.46;112.68;115.4;34609150
GMKN;D;300924;000000;115.58;117.66;113.04;113.04;19362320
GMKN;D;011024;000000;112.76;113.96;109.92;110.6;30530020
GMKN;D;021024;000000;110.68;111.5;107.62;107.84;23642080
GMKN;D;031024;000000;107.82;107.98;105;106.46;30178730
GMKN;D;041024;000000;106.8;108;106.5;106.96;11580110
GMKN;D;071024;000000;107.02;107.38;104.62;106.22;19622610
GMKN;D;081024;000000;105.88;107;104.9;106.4;10420420
GMKN;D;091024;000000;106.34;106.82;103.36;103.82;19384550
GMKN;D;101024;000000;103.86;104.46;103.16;103.48;14759210
GMKN;D;111024;000000;103.5;103.86;101.5;101.56;16173910
GMKN;D;141024;000000;101.54;105.74;100.3;105.5;34037080
GMKN;D;151024;000000;105.44;108.78;104.5;108.5;33459910
GMKN;D;161024;000000;108.44;109.98;105.82;106.82;40695440
GMKN;D;171024;000000;106.72;107.24;103.54;104.2;26570970
GMKN;D;181024;000000;104.1;105.8;102.74;104.26;29963710
GMKN;D;211024;000000;104.34;107.58;104.1;106.14;21981770
GMKN;D;221024;000000;106.5;107.9;105.52;105.82;25317760
GMKN;D;231024;000000;105.5;107.44;103.68;104.16;22779240
GMKN;D;241024;000000;104.06;105.7;103.26;105.12;16355670
GMKN;D;251024;000000;105.28;106.28;100.5;101.34;28884390
GMKN;D;281024;000000;100.58;101.6;94.22;96.1;46041580
GMKN;D;291024;000000;96.22;100.7;95.08;99.74;28823990
GMKN;D;301024;000000;100;100.42;97.04;97.54;19596070
GMKN;D;311024;000000;97.3;99.46;96.76;99;20613530
GMKN;D;011124;000000;99.38;100;97.22;99.16;18703960
GMKN;D;021124;000000;98.98;100.88;98.32;100.8;7056700
GMKN;D;051124;000000;100.78;105;100.28;104.2;21071840
GMKN;D;061124;000000;105.5;108.48;105.1;105.9;36498280
GMKN;D;071124;000000;105.78;110.48;104.66;109.42;38567780
GMKN;D;081124;000000;109.26;112.4;108.08;111.58;41395160
GMKN;D;111124;000000;112.3;113.26;110.64;112.64;28532680
GMKN;D;121124;000000;112.46;114.84;111.12;113.5;27262290
GMKN;D;131124;000000;113.26;115.8;112.7;112.98;38602480
GMKN;D;141124;000000;112.96;114.6;110.56;111.68;22569560
GMKN;D;151124;000000;111.6;115.5;111.28;115.16;19896910
GMKN;D;181124;000000;112.3;115.8;111.7;114.46;34571050
GMKN;D;191124;000000;114.66;116.1;109.52;111;39991720
GMKN;D;201124;000000;111.2;112;106;108.28;29166920
GMKN;D;211124;000000;108.28;109.78;106.6;109.32;29958010
GMKN;D;221124;000000;109.44;109.96;106.76;108.52;24606140
GMKN;D;251124;000000;108.46;108.8;103.1;103.94;22353180
GMKN;D;261124;000000;103.58;106.5;101.86;104.08;26873550
GMKN;D;271124;000000;104.2;111.4;102.74;110.96;45812360
GMKN;D;281124;000000;111.42;112.24;108.08;110.08;33219790
GMKN;D;291124;000000;110.52;114;109.68;112.96;23176380
GMKN;D;021224;000000;113.2;114.9;112.72;114.1;17177140
GMKN;D;031224;000000;113.94;114.34;109.3;110.4;22884210
GMKN;D;041224;000000;110.52;110.82;104.1;104.2;30695480
GMKN;D;051224;000000;104.62;108.7;102.8;108.16;33477560
GMKN;D;061224;000000;108.18;109.84;106.72;107.8;24482840
GMKN;D;091224;000000;108.52;109;106.38;106.86;21135120
GMKN;D;101224;000000;106.86;106.9;103.5;103.6;23461130
GMKN;D;111224;000000;103.6;104.84;101.5;104.1;23588910
GMKN;D;121224;000000;104.38;104.54;100.1;100.3;23811070
GMKN;D;131224;000000;100.28;102.2;99.68;99.9;20055930
GMKN;D;161224;000000;98.16;99.1;95.3;95.9;31971090
GMKN;D;171224;000000;96.02;96.7;94.8;94.98;22721480
GMKN;D;181224;000000;95.38;95.86;93.04;95.66;25834980
GMKN;D;191224;000000;95.88;99.16;95;95.7;45542260
GMKN;D;201224;000000;95.72;105.96;95.7;105.08;53266950
