<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;241025;000000;105.28;106.28;100.5;101.34;28884390
GMKN;D;241028;000000;100.58;101.6;94.22;96.1;46041580
GMKN;D;241029;000000;96.22;100.7;95.08;99.74;28823990
GMKN;D;241030;000000;100;100.42;97.04;97.54;19596070
GMKN;D;241031;000000;97.3;99.46;96.76;99;20613530
GMKN;D;241101;000000;99.38;100;97.22;99.16;18703960
GMKN;D;241102;000000;98.98;100.88;98.32;100.8;7056700
GMKN;D;241105;000000;100.78;105;100.28;104.2;21071840
GMKN;D;241106;000000;105.5;108.48;105.1;105.9;36498280
GMKN;D;241107;000000;105.78;110.48;104.66;109.42;38567780
GMKN;D;241108;000000;109.26;112.4;108.08;111.58;41395160
GMKN;D;241111;000000;112.3;113.26;110.64;112.64;28532680
GMKN;D;241112;000000;112.46;114.84;111.12;113.5;27262290
GMKN;D;241113;000000;113.26;115.8;112.7;112.98;38602480
GMKN;D;241114;000000;112.96;114.6;110.56;111.68;22569560
GMKN;D;241115;000000;111.6;115.5;111.28;115.16;19896910
GMKN;D;241118;000000;112.3;115.8;111.7;114.46;34571050
GMKN;D;241119;000000;114.66;116.1;109.52;111;39991720
GMKN;D;241120;000000;111.2;112;106;108.28;29166920
GMKN;D;241121;000000;108.28;109.78;106.6;109.32;29958010
GMKN;D;241122;000000;109.44;109.96;106.76;108.52;24606140
GMKN;D;241125;000000;108.46;108.8;103.1;103.94;22353180
GMKN;D;241126;000000;103.58;106.5;101.86;104.08;26873550
GMKN;D;241127;000000;104.2;111.4;102.74;110.96;45812360
GMKN;D;241128;000000;111.42;112.24;108.08;110.08;33219790
GMKN;D;241129;000000;110.52;114;109.68;112.96;23176380
GMKN;D;241202;000000;113.2;114.9;112.72;114.1;17177140
GMKN;D;241203;000000;113.94;114.34;109.3;110.4;22884210
GMKN;D;241204;000000;110.52;110.82;104.1;104.2;30695480
GMKN;D;241205;000000;104.62;108.7;102.8;108.16;33477560
GMKN;D;241206;000000;108.18;109.84;106.72;107.8;24482840
GMKN;D;241209;000000;108.52;109;106.38;106.86;21135120
GMKN;D;241210;000000;106.86;106.9;103.5;103.6;23461130
GMKN;D;241211;000000;103.6;104.84;101.5;104.1;23588910
GMKN;D;241212;000000;104.38;104.54;100.1;100.3;23811070
GMKN;D;241213;000000;100.28;102.2;99.68;99.9;20055930
GMKN;D;241216;000000;98.16;99.1;95.3;95.9;31971090
GMKN;D;241217;000000;96.02;96.7;94.8;94.98;22721480
GMKN;D;241218;000000;95.38;95.86;93.04;95.66;25834980
GMKN;D;241219;000000;95.88;99.16;95;95.7;45542260
GMKN;D;241220;000000;95.72;105.96;95.7;105.08;53266950
GMKN;D;241223;000000;107;108.4;104;105;52975680
GMKN;D;241224;000000;105.04;106.9;103.78;104.96;37268050
GMKN;D;241225;000000;104.72;108.72;103.54;108;42634200
GMKN;D;241226;000000;108.48;111.1;106.54;109.66;48192500
