<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,240918,000000,209.65,210.4,204.15,204.9,3486490
MTSS,D,240919,000000,205.1,208.65,203.8,206.4,4546370
MTSS,D,240920,000000,207.5,209.75,203,204.8,4515370
MTSS,D,240923,000000,205.6,208.4,204.55,205.35,4966800
MTSS,D,240924,000000,205.8,210,204.05,209.6,6586070
MTSS,D,240925,000000,210.2,210.6,204.3,206.2,6913200
MTSS,D,240926,000000,205.95,207.75,203.3,206.8,4019330
MTSS,D,240927,000000,207,208.65,206.05,206.7,3658740
MTSS,D,240930,000000,207.1,209.55,204.8,206.6,5949260
MTSS,D,241001,000000,207,209.7,205.7,208.3,5470490
MTSS,D,241002,000000,208.5,213.6,204,204.8,10684070
MTSS,D,241003,000000,204.65,207.05,199.75,206.3,7460220
MTSS,D,241004,000000,206.6,208.25,204.8,207.4,2398630
MTSS,D,241007,000000,207.3,208.25,202.8,205.55,3139580
MTSS,D,241008,000000,205.3,207.8,203.45,205.85,2812830
MTSS,D,241009,000000,206.15,206.9,204.65,206.6,1616680
MTSS,D,241010,000000,206,207.65,204.95,205.95,1984220
MTSS,D,241011,000000,205.9,206.45,204.55,205.55,1390950
MTSS,D,241014,000000,205.35,206.4,202.5,206.2,3194810
MTSS,D,241015,000000,206.4,208.45,204.7,207.45,3176530
MTSS,D,241016,000000,208.1,210.55,205.3,206.25,2810570
MTSS,D,241017,000000,206.4,207.25,203.95,204.1,1276810
MTSS,D,241018,000000,204.9,205.1,203.3,204.45,1528410
MTSS,D,241021,000000,204.5,205.9,204.05,205.2,1715070
MTSS,D,241022,000000,205.25,205.35,200.15,200.75,2477310
MTSS,D,241023,000000,200.05,200.75,197.1,198.35,2862100
MTSS,D,241024,000000,197.85,199.8,195.5,197.9,3235640
MTSS,D,241025,000000,197.65,199.25,191.2,193.6,5724740
MTSS,D,241028,000000,192.15,192.5,186.4,188.9,4595950
MTSS,D,241029,000000,188.7,189.1,184.65,186.6,5343760
MTSS,D,241030,000000,187.7,190.45,184.8,185.1,5868610
MTSS,D,241031,000000,185,185.2,181.6,182.35,5249140
MTSS,D,241101,000000,183,186.75,182.2,185.45,2830060
MTSS,D,241102,000000,185.85,187.5,184.95,187,1205370
MTSS,D,241105,000000,187.75,187.8,184.55,186.45,1628850
MTSS,D,241106,000000,188,193,186.95,189.45,6854450
MTSS,D,241107,000000,190,192.45,188.4,191.85,4223380
MTSS,D,241108,000000,192.35,198.55,192.1,198.25,4286800
MTSS,D,241111,000000,201.75,204.35,198.7,203.75,4804690
MTSS,D,241112,000000,203.6,203.6,197.6,197.6,1978970
MTSS,D,241113,000000,198.15,202.05,197.45,198.35,3374480
MTSS,D,241114,000000,198,199.95,194,195.8,2329810
MTSS,D,241115,000000,196.1,198.15,192.95,198.15,1970920
MTSS,D,241118,000000,194.5,201.3,193,196.1,3103060
MTSS,D,241119,000000,196,196.95,186,186.5,7902570
MTSS,D,241120,000000,186.6,187.5,181,183.5,9338530
MTSS,D,241121,000000,183.4,184.5,175,180.05,8297560
MTSS,D,241122,000000,180.5,180.55,176.1,176.7,3979090
MTSS,D,241125,000000,177.1,177.4,170.6,171.1,4251610
MTSS,D,241126,000000,170.2,177,168.05,169.9,6701380
MTSS,D,241127,000000,170.05,175.5,164.05,175.4,7171350
MTSS,D,241128,000000,175.35,178.7,172.1,177.55,3674260
MTSS,D,241129,000000,177.8,183.5,175.5,181.65,3000300
MTSS,D,241202,000000,182.1,184.8,175.75,177.75,3786230
MTSS,D,241203,000000,177.5,177.85,171,171.85,4747230
MTSS,D,241204,000000,171.8,172.9,164.1,166.15,6602900
MTSS,D,241205,000000,166.15,171.6,164.7,171.05,4992670
MTSS,D,241206,000000,171.35,176.9,170.6,174.1,5725440
MTSS,D,241209,000000,175.5,176.7,169.2,174.2,3863330
MTSS,D,241210,000000,174.25,174.35,170,170.25,2434240
MTSS,D,241211,000000,170.05,170.7,166,169.65,4812460
MTSS,D,241212,000000,169.9,171.8,167.6,168.65,3862360
MTSS,D,241213,000000,168.85,171.6,167.75,170.8,2354860
MTSS,D,241216,000000,170.5,170.6,162.25,164.95,5425020
MTSS,D,241217,000000,164,167.15,162.25,163.9,3143940
MTSS,D,241218,000000,164.05,165.1,162,163.6,1505660
