<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PHOR,D,240918,000000,5288,5307,5150,5239,78962
PHOR,D,240919,000000,5240,5250,5154,5187,76312
PHOR,D,240920,000000,5080,5188,5079,5140,61406
PHOR,D,240923,000000,5154,5210,5130,5191,48725
PHOR,D,240924,000000,5209,5233,5101,5134,99755
PHOR,D,240925,000000,5137,5285,5104,5248,109050
PHOR,D,240926,000000,5248,5452,5228,5432,122497
PHOR,D,240927,000000,5453,5467,5347,5398,76513
PHOR,D,240930,000000,5404,5471,5344,5349,62610
PHOR,D,241001,000000,5349,5627,5330,5627,345852
PHOR,D,241002,000000,5617,5617,5468,5500,143695
PHOR,D,241003,000000,5500,5565,5394,5474,87553
PHOR,D,241004,000000,5481,5509,5431,5463,68083
PHOR,D,241007,000000,5463,5521,5395,5498,89049
PHOR,D,241008,000000,5507,5519,5412,5420,52715
PHOR,D,241009,000000,5424,5472,5401,5420,27645
PHOR,D,241010,000000,5427,5460,5403,5404,24019
PHOR,D,241011,000000,5398,5424,5281,5324,35349
PHOR,D,241014,000000,5324,5425,5225,5412,59776
PHOR,D,241015,000000,5417,5500,5381,5475,29191
PHOR,D,241016,000000,5478,5514,5450,5457,17615
PHOR,D,241017,000000,5454,5460,5398,5416,20542
PHOR,D,241018,000000,5426,5428,5361,5408,18935
PHOR,D,241021,000000,5390,5448,5390,5435,24815
PHOR,D,241022,000000,5428,5434,5306,5327,21056
PHOR,D,241023,000000,5320,5369,5286,5297,38985
PHOR,D,241024,000000,5300,5300,5240,5299,28970
PHOR,D,241025,000000,5315,5324,5184,5233,48434
PHOR,D,241028,000000,5223,5224,4888,5000,118670
PHOR,D,241029,000000,5024,5040,4894,5023,58707
PHOR,D,241030,000000,5032,5097,4962,4974,48086
PHOR,D,241031,000000,4982,5000,4882,4915,45983
PHOR,D,241101,000000,4934,4975,4881,4973,21666
PHOR,D,241102,000000,4987,5019,4980,5015,11499
PHOR,D,241105,000000,5015,5125,4998,5122,25213
PHOR,D,241106,000000,5197,5387,5192,5209,66707
PHOR,D,241107,000000,5209,5285,5119,5275,108337
PHOR,D,241108,000000,5287,5560,5277,5560,155444
PHOR,D,241111,000000,5609,5609,5440,5475,87282
PHOR,D,241112,000000,5481,5497,5421,5446,42307
PHOR,D,241113,000000,5456,5519,5309,5317,70844
PHOR,D,241114,000000,5344,5481,5340,5438,76546
PHOR,D,241115,000000,5438,5472,5347,5433,68009
PHOR,D,241118,000000,5351,5577,5331,5542,77549
PHOR,D,241119,000000,5574,5632,5333,5334,87852
PHOR,D,241120,000000,5362,5453,5267,5378,89481
PHOR,D,241121,000000,5375,5505,5291,5497,129866
PHOR,D,241122,000000,5509,5519,5310,5383,58769
PHOR,D,241125,000000,5400,5408,5280,5356,82139
PHOR,D,241126,000000,5353,5450,5180,5235,132334
PHOR,D,241127,000000,5234,5425,5101,5425,119229
PHOR,D,241128,000000,5429,5580,5366,5541,125848
PHOR,D,241129,000000,5553,5601,5480,5584,66826
PHOR,D,241202,000000,5592,5848,5584,5846,153413
PHOR,D,241203,000000,5848,5850,5708,5769,114985
PHOR,D,241204,000000,5774,5840,5518,5541,135616
PHOR,D,241205,000000,5547,5758,5431,5689,95684
PHOR,D,241206,000000,5699,5802,5560,5619,83783
PHOR,D,241209,000000,5636,5761,5544,5602,79431
PHOR,D,241210,000000,5603,5616,5430,5435,83863
PHOR,D,241211,000000,5428,5564,5408,5529,83057
PHOR,D,241212,000000,5534,5616,5451,5477,173669
PHOR,D,241213,000000,5477,5678,5473,5635,123256
PHOR,D,241216,000000,5634,5677,5543,5571,74839
PHOR,D,241217,000000,5570,5714,5560,5661,115536
PHOR,D,241218,000000,5666,5731,5661,5726,49813
