<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;D;240918;0;209.65;210.4;204.15;204.9;3486490
MTSS;D;240919;0;205.1;208.65;203.8;206.4;4546370
MTSS;D;240920;0;207.5;209.75;203;204.8;4515370
MTSS;D;240923;0;205.6;208.4;204.55;205.35;4966800
MTSS;D;240924;0;205.8;210;204.05;209.6;6586070
MTSS;D;240925;0;210.2;210.6;204.3;206.2;6913200
MTSS;D;240926;0;205.95;207.75;203.3;206.8;4019330
MTSS;D;240927;0;207;208.65;206.05;206.7;3658740
MTSS;D;240930;0;207.1;209.55;204.8;206.6;5949260
MTSS;D;241001;0;207;209.7;205.7;208.3;5470490
MTSS;D;241002;0;208.5;213.6;204;204.8;10684070
MTSS;D;241003;0;204.65;207.05;199.75;206.3;7460220
MTSS;D;241004;0;206.6;208.25;204.8;207.4;2398630
MTSS;D;241007;0;207.3;208.25;202.8;205.55;3139580
MTSS;D;241008;0;205.3;207.8;203.45;205.85;2812830
MTSS;D;241009;0;206.15;206.9;204.65;206.6;1616680
MTSS;D;241010;0;206;207.65;204.95;205.95;1984220
MTSS;D;241011;0;205.9;206.45;204.55;205.55;1390950
MTSS;D;241014;0;205.35;206.4;202.5;206.2;3194810
MTSS;D;241015;0;206.4;208.45;204.7;207.45;3176530
MTSS;D;241016;0;208.1;210.55;205.3;206.25;2810570
MTSS;D;241017;0;206.4;207.25;203.95;204.1;1276810
MTSS;D;241018;0;204.9;205.1;203.3;204.45;1528410
MTSS;D;241021;0;204.5;205.9;204.05;205.2;1715070
MTSS;D;241022;0;205.25;205.35;200.15;200.75;2477310
MTSS;D;241023;0;200.05;200.75;197.1;198.35;2862100
MTSS;D;241024;0;197.85;199.8;195.5;197.9;3235640
MTSS;D;241025;0;197.65;199.25;191.2;193.6;5724740
MTSS;D;241028;0;192.15;192.5;186.4;188.9;4595950
MTSS;D;241029;0;188.7;189.1;184.65;186.6;5343760
MTSS;D;241030;0;187.7;190.45;184.8;185.1;5868610
MTSS;D;241031;0;185;185.2;181.6;182.35;5249140
MTSS;D;241101;0;183;186.75;182.2;185.45;2830060
MTSS;D;241102;0;185.85;187.5;184.95;187;1205370
MTSS;D;241105;0;187.75;187.8;184.55;186.45;1628850
MTSS;D;241106;0;188;193;186.95;189.45;6854450
MTSS;D;241107;0;190;192.45;188.4;191.85;4223380
MTSS;D;241108;0;192.35;198.55;192.1;198.25;4286800
MTSS;D;241111;0;201.75;204.35;198.7;203.75;4804690
MTSS;D;241112;0;203.6;203.6;197.6;197.6;1978970
MTSS;D;241113;0;198.15;202.05;197.45;198.35;3374480
MTSS;D;241114;0;198;199.95;194;195.8;2329810
MTSS;D;241115;0;196.1;198.15;192.95;198.15;1970920
MTSS;D;241118;0;194.5;201.3;193;196.1;3103060
MTSS;D;241119;0;196;196.95;186;186.5;7902570
MTSS;D;241120;0;186.6;187.5;181;183.5;9338530
MTSS;D;241121;0;183.4;184.5;175;180.05;8297560
MTSS;D;241122;0;180.5;180.55;176.1;176.7;3979090
MTSS;D;241125;0;177.1;177.4;170.6;171.1;4251610
MTSS;D;241126;0;170.2;177;168.05;169.9;6701380
MTSS;D;241127;0;170.05;175.5;164.05;175.4;7171350
MTSS;D;241128;0;175.35;178.7;172.1;177.55;3674260
MTSS;D;241129;0;177.8;183.5;175.5;181.65;3000300
MTSS;D;241202;0;182.1;184.8;175.75;177.75;3786230
MTSS;D;241203;0;177.5;177.85;171;171.85;4747230
MTSS;D;241204;0;171.8;172.9;164.1;166.15;6602900
MTSS;D;241205;0;166.15;171.6;164.7;171.05;4992670
MTSS;D;241206;0;171.35;176.9;170.6;174.1;5725440
MTSS;D;241209;0;175.5;176.7;169.2;174.2;3863330
MTSS;D;241210;0;174.25;174.35;170;170.25;2434240
MTSS;D;241211;0;170.05;170.7;166;169.65;4812460
MTSS;D;241212;0;169.9;171.8;167.6;168.65;3862360
MTSS;D;241213;0;168.85;171.6;167.75;170.8;2354860
MTSS;D;241216;0;170.5;170.6;162.25;164.95;5425020
MTSS;D;241217;0;164;167.15;162.25;163.9;3143940
MTSS;D;241218;0;164.05;165.1;162;163.6;1505660
