<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;60;240918;100000;209.65;210.4;208;208;713570
MTSS;60;240918;110000;207.95;208.4;206.3;207.2;395010
MTSS;60;240918;120000;207.15;207.4;206.35;207.2;268380
MTSS;60;240918;130000;207.25;207.6;205.75;206.45;328310
MTSS;60;240918;140000;206.4;206.5;205.5;205.55;247420
MTSS;60;240918;150000;205.55;207.05;205.1;205.65;408020
MTSS;60;240918;160000;205.65;206.6;204.6;205.95;332380
MTSS;60;240918;170000;205.9;206.85;205.6;205.95;248710
MTSS;60;240918;180000;206;206.05;204.6;204.9;162660
MTSS;60;240918;190000;205;205.15;204.15;205.05;113050
MTSS;60;240918;200000;205.05;205.7;204.9;205.45;60200
MTSS;60;240918;210000;205.6;206.15;205.45;205.8;31330
MTSS;60;240918;220000;205.75;206.05;204.9;205.95;123080
MTSS;60;240918;230000;205.95;206.05;204.9;204.9;54370
MTSS;60;240919;100000;205.1;205.95;204.15;205.6;301360
MTSS;60;240919;110000;205.6;206.6;205.4;205.9;429970
MTSS;60;240919;120000;205.75;208.65;205.3;208.1;783040
MTSS;60;240919;130000;208.1;208.2;206.05;206.1;248010
MTSS;60;240919;140000;206.1;206.3;204.55;205.7;366480
MTSS;60;240919;150000;205.7;205.75;203.8;204.65;825190
MTSS;60;240919;160000;204.7;206.4;204.6;206.3;503000
MTSS;60;240919;170000;206.35;208.15;206.3;207.75;630960
MTSS;60;240919;180000;207.65;208.15;207.5;207.5;262870
MTSS;60;240919;190000;207.5;207.9;207;207.15;56850
MTSS;60;240919;200000;207.15;207.15;206.6;207;43440
MTSS;60;240919;210000;206.9;207.1;206.75;207;20180
MTSS;60;240919;220000;206.95;207.05;206.7;207.05;21560
MTSS;60;240919;230000;207.05;207.05;206;206.4;53460
MTSS;60;240920;100000;207.5;209.75;206.45;208.85;707380
MTSS;60;240920;110000;208.85;208.85;208.05;208.35;193050
MTSS;60;240920;120000;208.3;209.3;208.3;209.25;196720
MTSS;60;240920;130000;209.25;209.5;208.55;208.55;268060
MTSS;60;240920;140000;208.6;208.8;208.35;208.55;125810
MTSS;60;240920;150000;208.55;208.6;206.95;206.95;350090
MTSS;60;240920;160000;206.95;207.65;206.9;207.3;204570
MTSS;60;240920;170000;207.2;207.3;205.3;205.55;422670
MTSS;60;240920;180000;205.6;205.95;203.5;203.5;814800
MTSS;60;240920;190000;203.5;204.5;203;204.45;694550
MTSS;60;240920;200000;204.45;204.5;204.25;204.5;124110
MTSS;60;240920;210000;204.45;204.5;204.3;204.45;168400
MTSS;60;240920;220000;204.45;204.5;204.3;204.5;112590
MTSS;60;240920;230000;204.5;205.2;204.4;204.8;132570
MTSS;60;240923;100000;205.6;208.4;205;206.2;1044350
MTSS;60;240923;110000;206.15;207.5;205.65;205.95;796150
MTSS;60;240923;120000;205.9;206.2;204.55;205.1;571910
MTSS;60;240923;130000;205.05;205.85;205;205.6;256530
MTSS;60;240923;140000;205.6;205.65;205;205.6;257920
MTSS;60;240923;150000;205.55;205.65;204.75;204.8;462220
MTSS;60;240923;160000;204.85;205.75;204.8;205.7;327610
