<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PHOR;60;240918;100000;5288;5307;5208;5248;14501
PHOR;60;240918;110000;5252;5262;5213;5214;7817
PHOR;60;240918;120000;5216;5230;5210;5214;5263
PHOR;60;240918;130000;5216;5237;5165;5183;13101
PHOR;60;240918;140000;5184;5210;5150;5155;9576
PHOR;60;240918;150000;5156;5204;5155;5185;5790
PHOR;60;240918;160000;5188;5214;5177;5200;7025
PHOR;60;240918;170000;5201;5230;5201;5214;4208
PHOR;60;240918;180000;5216;5248;5207;5243;5831
PHOR;60;240918;190000;5242;5245;5213;5228;1928
PHOR;60;240918;200000;5228;5245;5224;5243;1381
PHOR;60;240918;210000;5241;5245;5234;5239;597
PHOR;60;240918;220000;5236;5241;5231;5241;729
PHOR;60;240918;230000;5240;5246;5238;5239;1215
PHOR;60;240919;100000;5240;5250;5200;5220;6486
PHOR;60;240919;110000;5221;5225;5200;5207;4631
PHOR;60;240919;120000;5208;5243;5207;5241;7085
PHOR;60;240919;130000;5243;5244;5226;5226;2649
PHOR;60;240919;140000;5226;5240;5210;5233;3389
PHOR;60;240919;150000;5232;5232;5202;5211;13541
PHOR;60;240919;160000;5210;5215;5204;5208;2527
PHOR;60;240919;170000;5209;5210;5154;5197;14761
PHOR;60;240919;180000;5197;5200;5183;5192;2243
PHOR;60;240919;190000;5192;5194;5176;5188;4265
PHOR;60;240919;200000;5188;5192;5180;5192;2125
PHOR;60;240919;210000;5192;5197;5191;5194;2793
PHOR;60;240919;220000;5194;5210;5188;5189;3788
PHOR;60;240919;230000;5196;5204;5165;5187;6029
PHOR;60;240920;100000;5080;5139;5079;5133;23660
PHOR;60;240920;110000;5132;5138;5110;5131;3807
PHOR;60;240920;120000;5131;5188;5128;5174;8438
PHOR;60;240920;130000;5174;5175;5139;5157;5453
PHOR;60;240920;140000;5157;5170;5156;5170;2440
PHOR;60;240920;150000;5170;5175;5129;5134;4251
PHOR;60;240920;160000;5134;5140;5130;5133;1183
PHOR;60;240920;170000;5136;5140;5114;5124;2756
PHOR;60;240920;180000;5123;5145;5122;5145;2088
PHOR;60;240920;190000;5145;5157;5138;5143;2320
PHOR;60;240920;200000;5142;5144;5126;5144;2146
PHOR;60;240920;210000;5143;5144;5130;5139;640
PHOR;60;240920;220000;5138;5140;5123;5129;899
PHOR;60;240920;230000;5129;5153;5120;5140;1325
PHOR;60;240923;100000;5154;5210;5154;5181;11365
PHOR;60;240923;110000;5180;5199;5180;5190;2228
PHOR;60;240923;120000;5190;5191;5160;5162;4609
PHOR;60;240923;130000;5163;5176;5132;5143;4953
PHOR;60;240923;140000;5143;5165;5130;5162;3264
PHOR;60;240923;150000;5160;5188;5157;5183;3475
PHOR;60;240923;160000;5183;5200;5181;5199;3903
PHOR;60;240923;170000;5198;5207;5180;5206;6022
PHOR;60;240923;180000;5204;5207;5150;5159;2663
PHOR;60;240923;190000;5151;5190;5151;5190;1476
PHOR;60;240923;200000;5190;5198;5178;5192;837
PHOR;60;240923;210000;5192;5195;5189;5193;804
PHOR;60;240923;220000;5193;5193;5175;5192;2313
PHOR;60;240923;230000;5193;5198;5191;5191;813
PHOR;60;240924;100000;5209;5215;5175;5177;12451
PHOR;60;240924;110000;5177;5230;5170;5219;10134
PHOR;60;240924;120000;5220;5233;5196;5201;12876
PHOR;60;240924;130000;5205;5207;5175;5182;9910
PHOR;60;240924;140000;5179;5190;5151;5158;8907
PHOR;60;240924;150000;5157;5179;5128;5138;13622
PHOR;60;240924;160000;5138;5142;5112;5115;9196
PHOR;60;240924;170000;5117;5135;5101;5135;11262
PHOR;60;240924;180000;5134;5153;5130;5149;3724
PHOR;60;240924;190000;5150;5151;5135;5139;2366
PHOR;60;240924;200000;5139;5148;5137;5145;1346
PHOR;60;240924;210000;5146;5147;5140;5141;563
PHOR;60;240924;220000;5140;5148;5131;5144;2127
PHOR;60;240924;230000;5143;5144;5129;5134;1271
PHOR;60;240925;100000;5137;5159;5104;5127;9435
PHOR;60;240925;110000;5126;5200;5118;5197;15235
PHOR;60;240925;120000;5198;5214;5190;5211;6937
PHOR;60;240925;130000;5211;5235;5200;5235;9351
PHOR;60;240925;140000;5235;5270;5228;5243;12998
PHOR;60;240925;150000;5245;5285;5239;5285;12546
PHOR;60;240925;160000;5283;5285;5231;5233;11849
PHOR;60;240925;170000;5231;5239;5214;5230;11650
PHOR;60;240925;180000;5229;5237;5218;5220;3082
PHOR;60;240925;190000;5225;5237;5201;5220;2393
PHOR;60;240925;200000;5217;5238;5200;5233;5930
PHOR;60;240925;210000;5231;5260;5222;5249;5956
PHOR;60;240925;220000;5249;5251;5244;5248;952
PHOR;60;240925;230000;5247;5249;5242;5248;736
PHOR;60;240926;100000;5248;5325;5228;5299;18347
PHOR;60;240926;110000;5298;5344;5275;5330;19632
PHOR;60;240926;120000;5330;5340;5330;5334;4389
PHOR;60;240926;130000;5336;5337;5293;5298;9981
PHOR;60;240926;140000;5305;5334;5287;5334;9221
PHOR;60;240926;150000;5334;5335;5315;5318;4685
PHOR;60;240926;160000;5315;5327;5295;5324;10555
PHOR;60;240926;170000;5324;5340;5321;5340;4928
PHOR;60;240926;180000;5340;5430;5338;5404;20432
PHOR;60;240926;190000;5404;5424;5381;5399;7850
PHOR;60;240926;200000;5399;5409;5386;5404;1581
PHOR;60;240926;210000;5404;5446;5398;5433;4016
PHOR;60;240926;220000;5436;5452;5420;5430;5443
PHOR;60;240926;230000;5431;5440;5426;5432;1437
PHOR;60;240927;100000;5453;5467;5410;5433;9928
PHOR;60;240927;110000;5433;5434;5410;5414;9165
PHOR;60;240927;120000;5413;5426;5390;5415;15754
PHOR;60;240927;130000;5415;5420;5410;5410;5458
PHOR;60;240927;140000;5412;5416;5372;5378;8760
PHOR;60;240927;150000;5378;5390;5371;5371;4063
PHOR;60;240927;160000;5371;5374;5347;5359;5544
PHOR;60;240927;170000;5359;5370;5355;5369;4930
PHOR;60;240927;180000;5370;5400;5367;5386;4307
PHOR;60;240927;190000;5386;5400;5371;5384;2041
PHOR;60;240927;200000;5384;5398;5383;5389;1105
PHOR;60;240927;210000;5390;5398;5385;5385;1749
PHOR;60;240927;220000;5388;5395;5384;5384;1260
PHOR;60;240927;230000;5390;5413;5390;5398;2449
PHOR;60;240930;100000;5404;5430;5398;5426;9509
PHOR;60;240930;110000;5426;5471;5425;5457;11356
PHOR;60;240930;120000;5458;5465;5421;5430;9020
PHOR;60;240930;130000;5430;5431;5386;5398;8651
PHOR;60;240930;140000;5399;5424;5344;5371;10570
PHOR;60;240930;150000;5371;5428;5367;5409;5056
PHOR;60;240930;160000;5407;5425;5406;5417;809
PHOR;60;240930;170000;5419;5420;5396;5399;1046
PHOR;60;240930;180000;5399;5420;5396;5420;467
PHOR;60;240930;190000;5421;5421;5399;5400;1537
PHOR;60;240930;200000;5403;5409;5400;5405;468
PHOR;60;240930;210000;5402;5410;5388;5390;1075
PHOR;60;240930;220000;5390;5391;5357;5357;1692
PHOR;60;240930;230000;5359;5368;5347;5349;1354
PHOR;60;241001;100000;5349;5399;5330;5351;6177
PHOR;60;241001;110000;5353;5569;5351;5561;109768
PHOR;60;241001;120000;5565;5603;5531;5568;77588
PHOR;60;241001;130000;5570;5576;5510;5521;24932
PHOR;60;241001;140000;5522;5543;5500;5533;21694
PHOR;60;241001;150000;5533;5542;5510;5517;8634
PHOR;60;241001;160000;5513;5538;5500;5525;31375
PHOR;60;241001;170000;5525;5570;5512;5558;10056
PHOR;60;241001;180000;5558;5585;5540;5558;15312
PHOR;60;241001;190000;5558;5563;5532;5558;5238
PHOR;60;241001;200000;5556;5560;5538;5543;5445
PHOR;60;241001;210000;5543;5570;5538;5559;6124
PHOR;60;241001;220000;5559;5585;5554;5575;8337
PHOR;60;241001;230000;5576;5627;5575;5627;15172
PHOR;60;241002;100000;5617;5617;5536;5549;32595
PHOR;60;241002;110000;5548;5570;5531;5534;10947
PHOR;60;241002;120000;5533;5545;5512;5517;11993
PHOR;60;241002;130000;5517;5527;5508;5527;10290
PHOR;60;241002;140000;5525;5579;5525;5553;16502
PHOR;60;241002;150000;5552;5559;5535;5544;12279
PHOR;60;241002;160000;5541;5552;5526;5528;6896
PHOR;60;241002;170000;5528;5535;5483;5484;10770
PHOR;60;241002;180000;5485;5510;5484;5492;5191
PHOR;60;241002;190000;5492;5525;5468;5498;10074
PHOR;60;241002;200000;5496;5566;5496;5552;7500
PHOR;60;241002;210000;5549;5556;5495;5518;5151
PHOR;60;241002;220000;5514;5519;5497;5499;1110
PHOR;60;241002;230000;5499;5513;5495;5500;2397
PHOR;60;241003;100000;5500;5565;5486;5515;11534
PHOR;60;241003;110000;5516;5520;5431;5434;14767
PHOR;60;241003;120000;5436;5471;5436;5451;8813
PHOR;60;241003;130000;5450;5464;5409;5424;8444
PHOR;60;241003;140000;5421;5434;5394;5395;8173
PHOR;60;241003;150000;5395;5445;5395;5434;12514
PHOR;60;241003;160000;5434;5454;5405;5443;7650
PHOR;60;241003;170000;5444;5460;5430;5441;5735
PHOR;60;241003;180000;5437;5440;5411;5416;3725
PHOR;60;241003;190000;5429;5473;5420;5451;2694
PHOR;60;241003;200000;5450;5462;5442;5451;1037
PHOR;60;241003;210000;5454;5470;5452;5469;986
PHOR;60;241003;220000;5469;5470;5464;5470;839
PHOR;60;241003;230000;5470;5475;5469;5474;642
PHOR;60;241004;100000;5481;5498;5460;5493;6098
PHOR;60;241004;110000;5494;5509;5435;5459;22505
PHOR;60;241004;120000;5459;5466;5433;5447;5591
PHOR;60;241004;130000;5448;5456;5435;5448;4620
PHOR;60;241004;140000;5447;5460;5432;5446;4372
PHOR;60;241004;150000;5446;5455;5431;5443;3859
PHOR;60;241004;160000;5443;5453;5432;5441;4019
PHOR;60;241004;170000;5441;5456;5438;5451;4770
PHOR;60;241004;180000;5451;5469;5450;5467;4932
PHOR;60;241004;190000;5467;5468;5456;5457;763
PHOR;60;241004;200000;5460;5465;5454;5457;623
PHOR;60;241004;210000;5457;5465;5440;5445;2704
PHOR;60;241004;220000;5444;5450;5440;5449;466
PHOR;60;241004;230000;5448;5472;5445;5463;2761
PHOR;60;241007;100000;5463;5464;5404;5405;9039
PHOR;60;241007;110000;5406;5480;5395;5480;23626
PHOR;60;241007;120000;5480;5510;5448;5478;10414
PHOR;60;241007;130000;5478;5508;5470;5483;6500
PHOR;60;241007;140000;5485;5492;5472;5481;3359
PHOR;60;241007;150000;5482;5488;5474;5474;2740
PHOR;60;241007;160000;5474;5507;5448;5504;11796
PHOR;60;241007;170000;5504;5510;5451;5484;6179
PHOR;60;241007;180000;5483;5483;5463;5470;3489
PHOR;60;241007;190000;5470;5510;5470;5493;4047
PHOR;60;241007;200000;5493;5501;5480;5497;1758
PHOR;60;241007;210000;5499;5521;5492;5509;3627
PHOR;60;241007;220000;5505;5517;5497;5500;1391
PHOR;60;241007;230000;5499;5513;5495;5498;1084
PHOR;60;241008;100000;5507;5519;5463;5504;7599
PHOR;60;241008;110000;5503;5503;5493;5500;1000
PHOR;60;241008;120000;5500;5505;5480;5490;5059
PHOR;60;241008;130000;5489;5490;5470;5474;4710
PHOR;60;241008;140000;5473;5480;5453;5473;5811
PHOR;60;241008;150000;5473;5485;5467;5471;4181
PHOR;60;241008;160000;5471;5473;5417;5431;8965
PHOR;60;241008;170000;5431;5449;5420;5420;5586
PHOR;60;241008;180000;5420;5438;5420;5438;1685
PHOR;60;241008;190000;5439;5446;5432;5441;529
PHOR;60;241008;200000;5442;5457;5434;5450;1789
PHOR;60;241008;210000;5447;5459;5445;5451;1439
PHOR;60;241008;220000;5451;5451;5413;5414;2916
PHOR;60;241008;230000;5416;5423;5412;5420;1446
PHOR;60;241009;100000;5424;5438;5402;5415;4641
PHOR;60;241009;110000;5417;5431;5410;5421;1997
PHOR;60;241009;120000;5424;5424;5410;5419;1450
PHOR;60;241009;130000;5414;5424;5401;5411;3523
PHOR;60;241009;140000;5413;5472;5406;5436;8256
PHOR;60;241009;150000;5436;5436;5422;5423;2316
PHOR;60;241009;160000;5423;5425;5415;5421;691
PHOR;60;241009;170000;5423;5428;5414;5425;1771
PHOR;60;241009;180000;5425;5439;5415;5415;826
PHOR;60;241009;190000;5415;5439;5415;5426;486
PHOR;60;241009;200000;5426;5427;5423;5426;602
PHOR;60;241009;210000;5426;5436;5425;5434;285
PHOR;60;241009;220000;5432;5434;5427;5429;356
PHOR;60;241009;230000;5430;5430;5420;5420;445
PHOR;60;241010;100000;5427;5448;5418;5439;1070
PHOR;60;241010;110000;5438;5460;5433;5440;4089
PHOR;60;241010;120000;5440;5454;5438;5440;1927
PHOR;60;241010;130000;5439;5440;5410;5415;1580
PHOR;60;241010;140000;5415;5418;5406;5406;1337
PHOR;60;241010;150000;5407;5440;5406;5436;1899
PHOR;60;241010;160000;5436;5437;5419;5427;703
PHOR;60;241010;170000;5427;5444;5421;5438;1419
PHOR;60;241010;180000;5432;5442;5407;5407;4664
PHOR;60;241010;190000;5408;5413;5406;5410;1437
PHOR;60;241010;200000;5408;5413;5405;5411;584
PHOR;60;241010;210000;5412;5412;5403;5409;534
PHOR;60;241010;220000;5409;5424;5405;5419;2465
PHOR;60;241010;230000;5420;5420;5404;5404;311
PHOR;60;241011;100000;5398;5424;5334;5364;11019
PHOR;60;241011;110000;5363;5377;5352;5374;1888
PHOR;60;241011;120000;5374;5377;5350;5357;1903
PHOR;60;241011;130000;5355;5365;5335;5341;2537
PHOR;60;241011;140000;5341;5361;5337;5356;1261
PHOR;60;241011;150000;5358;5358;5333;5343;2607
PHOR;60;241011;160000;5343;5343;5331;5331;763
PHOR;60;241011;170000;5333;5337;5305;5332;3982
PHOR;60;241011;180000;5331;5331;5281;5325;5775
PHOR;60;241011;190000;5329;5329;5305;5307;1443
PHOR;60;241011;200000;5309;5317;5308;5313;478
PHOR;60;241011;210000;5309;5329;5309;5328;550
PHOR;60;241011;220000;5325;5327;5315;5325;701
PHOR;60;241011;230000;5324;5325;5316;5324;442
PHOR;60;241014;100000;5324;5325;5225;5252;11599
PHOR;60;241014;110000;5252;5284;5245;5270;4355
PHOR;60;241014;120000;5272;5316;5252;5306;10160
PHOR;60;241014;130000;5305;5350;5297;5349;9312
PHOR;60;241014;140000;5349;5370;5344;5361;5941
PHOR;60;241014;150000;5362;5371;5355;5360;2700
PHOR;60;241014;160000;5358;5399;5358;5394;3884
PHOR;60;241014;170000;5395;5405;5380;5403;5045
PHOR;60;241014;180000;5403;5405;5398;5405;1757
PHOR;60;241014;190000;5405;5412;5398;5407;1566
PHOR;60;241014;200000;5408;5418;5407;5417;831
PHOR;60;241014;210000;5414;5425;5411;5425;875
PHOR;60;241014;220000;5424;5424;5393;5399;1378
PHOR;60;241014;230000;5400;5414;5400;5412;373
PHOR;60;241015;100000;5417;5417;5381;5409;5306
PHOR;60;241015;110000;5413;5500;5404;5462;10132
PHOR;60;241015;120000;5467;5470;5432;5462;4087
PHOR;60;241015;130000;5464;5464;5431;5444;796
PHOR;60;241015;140000;5444;5470;5443;5470;2426
PHOR;60;241015;150000;5470;5470;5451;5451;760
PHOR;60;241015;160000;5453;5474;5451;5474;1172
PHOR;60;241015;170000;5475;5487;5471;5486;2132
PHOR;60;241015;180000;5487;5490;5474;5490;774
PHOR;60;241015;190000;5489;5490;5474;5479;447
PHOR;60;241015;200000;5476;5481;5474;5474;240
PHOR;60;241015;210000;5474;5481;5474;5477;227
PHOR;60;241015;220000;5479;5480;5474;5477;290
PHOR;60;241015;230000;5478;5483;5474;5475;402
PHOR;60;241016;100000;5478;5498;5478;5496;2001
PHOR;60;241016;110000;5495;5508;5489;5506;1937
PHOR;60;241016;120000;5508;5514;5477;5482;2901
PHOR;60;241016;130000;5480;5485;5475;5477;1225
PHOR;60;241016;140000;5478;5495;5477;5485;1271
PHOR;60;241016;150000;5481;5499;5481;5497;1006
PHOR;60;241016;160000;5494;5494;5462;5467;2524
PHOR;60;241016;170000;5469;5469;5457;5457;1286
PHOR;60;241016;180000;5458;5480;5450;5453;1775
PHOR;60;241016;190000;5459;5474;5458;5460;440
PHOR;60;241016;200000;5464;5467;5459;5459;238
PHOR;60;241016;210000;5461;5475;5455;5470;331
PHOR;60;241016;220000;5473;5474;5466;5467;347
PHOR;60;241016;230000;5469;5469;5456;5457;333
PHOR;60;241017;100000;5454;5460;5431;5438;3334
PHOR;60;241017;110000;5437;5459;5430;5454;1056
PHOR;60;241017;120000;5454;5460;5412;5425;4486
PHOR;60;241017;130000;5424;5434;5417;5421;828
PHOR;60;241017;140000;5421;5421;5411;5414;1006
PHOR;60;241017;150000;5414;5432;5413;5419;2549
PHOR;60;241017;160000;5420;5435;5419;5434;770
PHOR;60;241017;170000;5433;5452;5427;5433;778
PHOR;60;241017;180000;5436;5445;5419;5419;1921
PHOR;60;241017;190000;5419;5426;5410;5415;896
PHOR;60;241017;200000;5412;5419;5411;5418;319
PHOR;60;241017;210000;5418;5418;5411;5413;818
PHOR;60;241017;220000;5413;5413;5398;5398;1395
PHOR;60;241017;230000;5399;5420;5399;5416;386
PHOR;60;241018;100000;5426;5428;5361;5367;3365
PHOR;60;241018;110000;5369;5405;5366;5396;6030
PHOR;60;241018;120000;5396;5408;5388;5407;1070
PHOR;60;241018;130000;5407;5409;5387;5387;2666
PHOR;60;241018;140000;5388;5411;5387;5406;1749
PHOR;60;241018;150000;5405;5412;5400;5410;351
PHOR;60;241018;160000;5406;5412;5402;5406;731
PHOR;60;241018;170000;5403;5411;5403;5405;549
PHOR;60;241018;180000;5404;5412;5401;5401;956
PHOR;60;241018;190000;5405;5412;5404;5411;196
PHOR;60;241018;200000;5410;5410;5406;5407;135
PHOR;60;241018;210000;5406;5409;5405;5406;260
PHOR;60;241018;220000;5407;5409;5405;5407;638
PHOR;60;241018;230000;5406;5410;5406;5408;239
PHOR;60;241021;100000;5390;5430;5390;5416;3695
PHOR;60;241021;110000;5419;5434;5415;5417;5166
PHOR;60;241021;120000;5418;5423;5416;5416;2335
PHOR;60;241021;130000;5420;5424;5416;5422;1964
PHOR;60;241021;140000;5424;5425;5416;5423;3017
PHOR;60;241021;150000;5424;5448;5420;5440;4147
PHOR;60;241021;160000;5441;5444;5436;5440;642
PHOR;60;241021;170000;5444;5445;5433;5440;1590
PHOR;60;241021;180000;5437;5442;5420;5424;1121
PHOR;60;241021;190000;5422;5424;5421;5421;295
PHOR;60;241021;200000;5421;5421;5416;5418;173
PHOR;60;241021;210000;5416;5417;5413;5413;194
PHOR;60;241021;220000;5413;5422;5413;5422;295
PHOR;60;241021;230000;5422;5436;5422;5435;181
PHOR;60;241022;100000;5428;5434;5384;5388;2933
PHOR;60;241022;110000;5387;5395;5370;5387;1738
PHOR;60;241022;120000;5385;5387;5380;5387;2387
PHOR;60;241022;130000;5387;5394;5385;5387;887
PHOR;60;241022;140000;5388;5388;5350;5369;4212
PHOR;60;241022;150000;5369;5374;5306;5330;4464
PHOR;60;241022;160000;5334;5337;5329;5331;838
PHOR;60;241022;170000;5331;5350;5331;5344;822
PHOR;60;241022;180000;5343;5343;5331;5332;508
PHOR;60;241022;190000;5333;5333;5319;5320;1184
PHOR;60;241022;200000;5319;5329;5319;5325;251
PHOR;60;241022;210000;5323;5338;5323;5327;195
PHOR;60;241022;220000;5326;5334;5322;5327;453
PHOR;60;241022;230000;5329;5332;5321;5327;184
PHOR;60;241023;100000;5320;5321;5286;5289;6071
PHOR;60;241023;110000;5287;5349;5286;5339;6152
PHOR;60;241023;120000;5337;5350;5334;5347;3425
PHOR;60;241023;130000;5346;5369;5340;5354;7107
PHOR;60;241023;140000;5354;5360;5342;5348;2310
PHOR;60;241023;150000;5349;5350;5338;5348;2921
PHOR;60;241023;160000;5346;5350;5333;5349;3067
PHOR;60;241023;170000;5348;5358;5344;5358;1964
PHOR;60;241023;180000;5358;5359;5333;5333;1399
PHOR;60;241023;190000;5336;5346;5330;5344;696
PHOR;60;241023;200000;5344;5360;5330;5334;1409
PHOR;60;241023;210000;5334;5334;5305;5310;1361
PHOR;60;241023;220000;5308;5311;5288;5295;807
PHOR;60;241023;230000;5294;5299;5288;5297;296
PHOR;60;241024;100000;5300;5300;5275;5275;5472
PHOR;60;241024;110000;5276;5294;5272;5274;2579
PHOR;60;241024;120000;5274;5277;5240;5247;4924
PHOR;60;241024;130000;5246;5265;5243;5257;1398
PHOR;60;241024;140000;5257;5263;5246;5257;1469
PHOR;60;241024;150000;5257;5268;5255;5257;812
PHOR;60;241024;160000;5260;5298;5258;5296;1981
PHOR;60;241024;170000;5296;5300;5291;5299;5157
PHOR;60;241024;180000;5299;5300;5284;5300;2818
PHOR;60;241024;190000;5300;5300;5286;5291;1028
PHOR;60;241024;200000;5291;5294;5285;5288;327
PHOR;60;241024;210000;5288;5297;5285;5297;209
PHOR;60;241024;220000;5295;5297;5285;5286;427
PHOR;60;241024;230000;5286;5299;5286;5299;369
